id_cliente,prob_cancelamento,faixa_risco,sinais_de_risco,receita_anual_estimada,qtd_transacoes_12m,var_qtd_q4_q1,contatos_12m,qtd_produtos,saldo_rotativo
710241858,0.9545,Crítico,"Poucas transações (≤ 60); Queda de uso no trimestre (Q4/Q1 < 0,6); 3+ contatos com o banco; Rotativo zerado",40.8,36,0.44,4,6,0
718934058,0.9504,Crítico,"Poucas transações (≤ 60); Queda de uso no trimestre (Q4/Q1 < 0,6)",500.98,51,0.5,2,4,2517
720801033,0.9482,Crítico,"Poucas transações (≤ 60); Queda de uso no trimestre (Q4/Q1 < 0,6); 3+ contatos com o banco",480.0,27,0.421,3,3,2517
757266933,0.9432,Crítico,"Poucas transações (≤ 60); Queda de uso no trimestre (Q4/Q1 < 0,6); 3+ contatos com o banco",215.84,46,0.484,4,4,929
825756333,0.9412,Crítico,Poucas transações (≤ 60),381.66,48,0.778,1,4,1885
716657058,0.9329,Crítico,"Poucas transações (≤ 60); Queda de uso no trimestre (Q4/Q1 < 0,6); 3+ contatos com o banco; Até 2 produtos",198.0,37,0.542,3,2,926
718476033,0.9266,Crítico,Poucas transações (≤ 60); 3+ contatos com o banco,472.78,49,0.633,5,5,2355
778137108,0.9266,Crítico,"Poucas transações (≤ 60); Queda de uso no trimestre (Q4/Q1 < 0,6)",490.26,47,0.306,2,6,2517
712215258,0.9255,Crítico,"Poucas transações (≤ 60); Queda de uso no trimestre (Q4/Q1 < 0,6); 3+ contatos com o banco; Até 2 produtos; Rotativo zerado",25.96,22,0.571,3,2,0
710632683,0.9218,Crítico,"Poucas transações (≤ 60); Queda de uso no trimestre (Q4/Q1 < 0,6); 3+ contatos com o banco; Rotativo zerado",46.16,49,0.4,3,5,0
713030958,0.9215,Crítico,Poucas transações (≤ 60); Rotativo zerado,39.28,54,0.8,2,6,0
714211533,0.9134,Crítico,Poucas transações (≤ 60),501.78,50,0.667,2,4,2491
815062383,0.8995,Crítico,"Poucas transações (≤ 60); Queda de uso no trimestre (Q4/Q1 < 0,6)",253.02,33,0.5,1,3,1193
772148058,0.8918,Crítico,"Poucas transações (≤ 60); Queda de uso no trimestre (Q4/Q1 < 0,6); 3+ contatos com o banco",191.72,53,0.559,3,6,759
716811483,0.8834,Crítico,"Poucas transações (≤ 60); Queda de uso no trimestre (Q4/Q1 < 0,6); Rotativo zerado",37.18,43,0.536,1,4,0
716797758,0.8792,Crítico,Poucas transações (≤ 60); 3+ contatos com o banco; Rotativo zerado,33.4,33,0.65,4,3,0
784798683,0.8788,Crítico,"Poucas transações (≤ 60); Queda de uso no trimestre (Q4/Q1 < 0,6); Rotativo zerado",39.98,39,0.56,2,3,0
771756333,0.8739,Crítico,"Poucas transações (≤ 60); Queda de uso no trimestre (Q4/Q1 < 0,6); 3+ contatos com o banco",366.0,37,0.542,3,5,1794
806637558,0.8671,Crítico,Poucas transações (≤ 60); 3+ contatos com o banco; Rotativo zerado,30.78,40,0.6,5,5,0
715401633,0.8643,Crítico,"Poucas transações (≤ 60); Queda de uso no trimestre (Q4/Q1 < 0,6)",402.58,38,0.462,2,3,2002
819612933,0.8624,Crítico,"Queda de uso no trimestre (Q4/Q1 < 0,6); 3+ contatos com o banco; Até 2 produtos; Rotativo zerado",109.44,70,0.591,3,1,0
719836083,0.8605,Crítico,"Poucas transações (≤ 60); Queda de uso no trimestre (Q4/Q1 < 0,6)",346.22,34,0.172,2,3,1752
826513233,0.8582,Crítico,Poucas transações (≤ 60),472.66,54,0.742,2,6,2396
721129383,0.8556,Crítico,Poucas transações (≤ 60),500.28,42,0.826,2,3,2517
711835758,0.8505,Crítico,"Poucas transações (≤ 60); Queda de uso no trimestre (Q4/Q1 < 0,6); 3+ contatos com o banco",412.94,35,0.25,3,4,2099
711795633,0.8504,Crítico,"Poucas transações (≤ 60); Queda de uso no trimestre (Q4/Q1 < 0,6); 3+ contatos com o banco; Rotativo zerado",75.96,53,0.472,4,3,0
715102308,0.8501,Crítico,Poucas transações (≤ 60),274.76,47,0.679,2,5,1277
772601283,0.85,Crítico,Poucas transações (≤ 60),408.84,32,0.684,2,6,1992
719929758,0.8486,Crítico,Poucas transações (≤ 60); 3+ contatos com o banco; Rotativo zerado,61.14,54,0.688,3,6,0
781391058,0.8464,Crítico,"Poucas transações (≤ 60); Queda de uso no trimestre (Q4/Q1 < 0,6)",287.32,38,0.583,2,6,1375
709693833,0.8435,Crítico,"Poucas transações (≤ 60); Queda de uso no trimestre (Q4/Q1 < 0,6)",338.26,44,0.419,0,6,1605
713049933,0.8251,Crítico,Poucas transações (≤ 60); Rotativo zerado,42.88,44,0.63,2,5,0
720673008,0.8113,Crítico,"Poucas transações (≤ 60); Queda de uso no trimestre (Q4/Q1 < 0,6); 3+ contatos com o banco",181.58,47,0.516,4,3,812
717705858,0.8041,Crítico,Poucas transações (≤ 60); 3+ contatos com o banco; Rotativo zerado,50.56,52,0.793,3,4,0
708664008,0.8032,Crítico,"Poucas transações (≤ 60); Queda de uso no trimestre (Q4/Q1 < 0,6); 3+ contatos com o banco; Rotativo zerado",24.44,37,0.423,4,6,0
712571883,0.8016,Crítico,Poucas transações (≤ 60); Até 2 produtos,391.98,58,0.706,2,1,1658
713447583,0.7922,Crítico,Poucas transações (≤ 60),479.5,58,0.933,2,5,2055
711173883,0.7757,Crítico,"Poucas transações (≤ 60); Queda de uso no trimestre (Q4/Q1 < 0,6)",188.92,54,0.385,2,3,770
788618208,0.7734,Crítico,3+ contatos com o banco; Até 2 produtos; Rotativo zerado,163.96,90,0.915,3,2,0
805259733,0.7471,Crítico,"Poucas transações (≤ 60); Queda de uso no trimestre (Q4/Q1 < 0,6); 3+ contatos com o banco; Rotativo zerado",34.62,46,0.586,4,6,0
712672083,0.7463,Crítico,Poucas transações (≤ 60),153.42,24,0.714,2,3,747
711291558,0.7372,Crítico,"Poucas transações (≤ 60); Queda de uso no trimestre (Q4/Q1 < 0,6); 3+ contatos com o banco; Rotativo zerado",52.72,50,0.429,3,4,0
711836733,0.7334,Crítico,Poucas transações (≤ 60); 3+ contatos com o banco; Rotativo zerado,37.34,45,0.875,3,3,0
712879158,0.7332,Crítico,3+ contatos com o banco; Até 2 produtos,550.04,70,0.628,3,2,2201
778143183,0.7264,Crítico,Poucas transações (≤ 60); 3+ contatos com o banco; Até 2 produtos; Rotativo zerado,101.96,58,1.071,3,2,0
709106358,0.7217,Crítico,Poucas transações (≤ 60); Rotativo zerado,16.32,28,2.5,0,5,0
710353233,0.7211,Crítico,Poucas transações (≤ 60),284.84,47,0.621,2,4,1106
714779733,0.7124,Crítico,"Poucas transações (≤ 60); Queda de uso no trimestre (Q4/Q1 < 0,6); 3+ contatos com o banco",330.22,33,0.435,4,3,1586
710808108,0.7059,Crítico,Poucas transações (≤ 60),498.2,54,0.8,2,3,2517
719474583,0.7043,Crítico,"Poucas transações (≤ 60); Queda de uso no trimestre (Q4/Q1 < 0,6); 3+ contatos com o banco",375.24,53,0.472,3,6,1776
710641008,0.7002,Crítico,Poucas transações (≤ 60); 3+ contatos com o banco; Rotativo zerado,49.46,56,0.6,4,5,0
710905908,0.6995,Alto,"Poucas transações (≤ 60); Queda de uso no trimestre (Q4/Q1 < 0,6); 3+ contatos com o banco",282.68,30,0.5,3,4,1355
823629333,0.6882,Alto,Poucas transações (≤ 60); Até 2 produtos; Rotativo zerado,84.4,50,1.174,1,1,0
720942333,0.6881,Alto,Poucas transações (≤ 60); 3+ contatos com o banco; Rotativo zerado,40.86,52,1.0,4,4,0
710616183,0.688,Alto,Poucas transações (≤ 60); 3+ contatos com o banco; Rotativo zerado,37.58,34,0.7,4,5,0
714902283,0.6696,Alto,Poucas transações (≤ 60); 3+ contatos com o banco; Rotativo zerado,56.86,53,0.828,3,5,0
709012083,0.6682,Alto,Poucas transações (≤ 60); 3+ contatos com o banco,492.72,45,0.731,4,3,2514
794054058,0.6678,Alto,"Poucas transações (≤ 60); Queda de uso no trimestre (Q4/Q1 < 0,6); Até 2 produtos; Rotativo zerado",80.2,59,0.513,1,1,0
709200633,0.6439,Alto,3+ contatos com o banco; Até 2 produtos; Rotativo zerado,108.86,73,0.973,3,1,0
721306908,0.643,Alto,Poucas transações (≤ 60),166.0,46,0.704,2,4,540
754897008,0.6413,Alto,"Poucas transações (≤ 60); Queda de uso no trimestre (Q4/Q1 < 0,6); Até 2 produtos",281.62,26,0.368,2,2,1418
710490708,0.639,Alto,"Poucas transações (≤ 60); Queda de uso no trimestre (Q4/Q1 < 0,6); 3+ contatos com o banco; Rotativo zerado",40.94,46,0.533,3,4,0
716219808,0.6383,Alto,"Poucas transações (≤ 60); Queda de uso no trimestre (Q4/Q1 < 0,6); 3+ contatos com o banco; Rotativo zerado",34.84,41,0.323,3,5,0
827055333,0.6361,Alto,Poucas transações (≤ 60); 3+ contatos com o banco,227.86,37,0.682,5,5,1042
711757383,0.6352,Alto,"Poucas transações (≤ 60); Queda de uso no trimestre (Q4/Q1 < 0,6); Rotativo zerado",38.1,39,0.345,2,4,0
713497983,0.632,Alto,Poucas transações (≤ 60); Até 2 produtos; Rotativo zerado,69.18,53,0.71,2,1,0
714387108,0.6265,Alto,"Poucas transações (≤ 60); Queda de uso no trimestre (Q4/Q1 < 0,6); 3+ contatos com o banco; Rotativo zerado",69.62,51,0.5,3,4,0
710670633,0.6191,Alto,"Poucas transações (≤ 60); Queda de uso no trimestre (Q4/Q1 < 0,6); 3+ contatos com o banco",362.84,33,0.571,3,6,1779
772687983,0.6163,Alto,"Poucas transações (≤ 60); Queda de uso no trimestre (Q4/Q1 < 0,6); 3+ contatos com o banco",365.86,56,0.556,3,5,1498
713693958,0.6087,Alto,"Poucas transações (≤ 60); Queda de uso no trimestre (Q4/Q1 < 0,6); 3+ contatos com o banco; Rotativo zerado",25.9,29,0.381,4,6,0
711410958,0.5859,Alto,3+ contatos com o banco; Até 2 produtos,604.7,69,0.917,3,2,2517
779138883,0.578,Alto,"Poucas transações (≤ 60); Queda de uso no trimestre (Q4/Q1 < 0,6); 3+ contatos com o banco; Rotativo zerado",33.46,44,0.257,4,6,0
716162583,0.5708,Alto,"Poucas transações (≤ 60); Queda de uso no trimestre (Q4/Q1 < 0,6); 3+ contatos com o banco",491.68,57,0.425,3,6,2517
778855383,0.5708,Alto,Poucas transações (≤ 60); 3+ contatos com o banco; Rotativo zerado,39.5,40,0.6,3,3,0
717669483,0.5708,Alto,Poucas transações (≤ 60); Rotativo zerado,34.74,38,0.9,1,3,0
710092683,0.5705,Alto,Poucas transações (≤ 60); Até 2 produtos,292.52,47,0.741,2,2,1421
714574083,0.5684,Alto,Poucas transações (≤ 60); 3+ contatos com o banco,438.84,51,0.7,3,3,2159
714926508,0.5671,Alto,"Poucas transações (≤ 60); Queda de uso no trimestre (Q4/Q1 < 0,6)",394.34,46,0.438,2,5,1938
713750583,0.5568,Alto,Poucas transações (≤ 60); 3+ contatos com o banco,246.3,30,0.667,4,4,1125
720568083,0.5537,Alto,Poucas transações (≤ 60); 3+ contatos com o banco; Rotativo zerado,48.56,53,0.893,4,5,0
720476733,0.5517,Alto,"Poucas transações (≤ 60); Queda de uso no trimestre (Q4/Q1 < 0,6); Até 2 produtos",163.86,22,0.571,2,2,799
717859233,0.5486,Alto,Até 2 produtos,620.3,82,0.64,2,1,2517
714547458,0.5462,Alto,"Poucas transações (≤ 60); Queda de uso no trimestre (Q4/Q1 < 0,6); Rotativo zerado",38.82,51,0.417,2,3,0
771742533,0.5442,Alto,"Poucas transações (≤ 60); Queda de uso no trimestre (Q4/Q1 < 0,6)",327.98,28,0.556,2,5,1718
720231108,0.5415,Alto,Poucas transações (≤ 60); 3+ contatos com o banco; Rotativo zerado,60.62,57,0.676,3,3,0
716565258,0.5351,Alto,"Poucas transações (≤ 60); Queda de uso no trimestre (Q4/Q1 < 0,6); 3+ contatos com o banco; Rotativo zerado",50.52,54,0.588,4,5,0
820288233,0.5259,Alto,"Poucas transações (≤ 60); Queda de uso no trimestre (Q4/Q1 < 0,6); 3+ contatos com o banco; Rotativo zerado",54.62,39,0.5,4,4,0
787541883,0.5227,Alto,"Poucas transações (≤ 60); Queda de uso no trimestre (Q4/Q1 < 0,6); 3+ contatos com o banco; Rotativo zerado",22.4,27,0.35,3,3,0
715279683,0.5215,Alto,"Poucas transações (≤ 60); Queda de uso no trimestre (Q4/Q1 < 0,6); 3+ contatos com o banco; Rotativo zerado",33.58,39,0.5,4,5,0
715028283,0.5095,Alto,,506.18,61,0.605,2,3,2497
770146008,0.5069,Alto,"Poucas transações (≤ 60); Queda de uso no trimestre (Q4/Q1 < 0,6)",308.52,37,0.37,2,4,1502
809342208,0.5062,Alto,"Poucas transações (≤ 60); Queda de uso no trimestre (Q4/Q1 < 0,6); Rotativo zerado",40.1,47,0.469,2,4,0
717128283,0.5045,Alto,Poucas transações (≤ 60),479.72,33,0.941,2,5,2409
789144633,0.4966,Alto,Poucas transações (≤ 60),193.02,34,0.889,2,3,850
789270033,0.4932,Alto,"Poucas transações (≤ 60); Queda de uso no trimestre (Q4/Q1 < 0,6); 3+ contatos com o banco; Rotativo zerado",22.44,13,0.182,3,3,0
708119658,0.4879,Alto,"Poucas transações (≤ 60); Queda de uso no trimestre (Q4/Q1 < 0,6)",236.5,53,0.472,1,4,1034
713277783,0.4877,Alto,"Poucas transações (≤ 60); Queda de uso no trimestre (Q4/Q1 < 0,6)",206.26,55,0.486,2,6,905
709986633,0.4865,Alto,"Poucas transações (≤ 60); Queda de uso no trimestre (Q4/Q1 < 0,6); 3+ contatos com o banco; Rotativo zerado",42.88,41,0.577,3,3,0
719682183,0.4829,Alto,Poucas transações (≤ 60); 3+ contatos com o banco,493.0,43,1.048,4,3,2517
818929158,0.4794,Alto,Poucas transações (≤ 60); Rotativo zerado,44.4,53,0.828,2,3,0
712709508,0.4763,Alto,3+ contatos com o banco; Rotativo zerado,52.9,63,0.8,4,3,0
709531908,0.4756,Alto,Poucas transações (≤ 60); Rotativo zerado,43.68,53,0.828,2,5,0
711436083,0.4561,Alto,"Poucas transações (≤ 60); Queda de uso no trimestre (Q4/Q1 < 0,6); 3+ contatos com o banco",229.62,46,0.586,3,6,1003
715762083,0.4547,Alto,"Poucas transações (≤ 60); Queda de uso no trimestre (Q4/Q1 < 0,6)",415.9,45,0.5,2,6,2030
789469083,0.4525,Alto,"Queda de uso no trimestre (Q4/Q1 < 0,6); Até 2 produtos; Rotativo zerado",157.1,81,0.528,1,2,0
712555233,0.45,Alto,Poucas transações (≤ 60),168.26,38,0.727,2,4,710
718563483,0.4409,Alto,"Queda de uso no trimestre (Q4/Q1 < 0,6); 3+ contatos com o banco; Rotativo zerado",52.22,64,0.455,3,3,0
721051908,0.4307,Alto,"Poucas transações (≤ 60); Queda de uso no trimestre (Q4/Q1 < 0,6); 3+ contatos com o banco; Rotativo zerado",27.86,32,0.455,3,3,0
827691858,0.4289,Alto,"Poucas transações (≤ 60); Queda de uso no trimestre (Q4/Q1 < 0,6); 3+ contatos com o banco",265.3,52,0.405,4,3,1251
715455708,0.4178,Alto,Poucas transações (≤ 60),311.46,49,0.633,2,3,1468
779400183,0.4168,Alto,Poucas transações (≤ 60); 3+ contatos com o banco,502.74,55,0.774,4,3,2517
818908833,0.4143,Alto,"Poucas transações (≤ 60); Queda de uso no trimestre (Q4/Q1 < 0,6); Rotativo zerado",40.76,45,0.364,2,5,0
711048783,0.4116,Alto,Poucas transações (≤ 60); 3+ contatos com o banco; Rotativo zerado,26.9,34,0.619,3,3,0
709056558,0.4106,Alto,Poucas transações (≤ 60),492.94,41,0.64,2,5,2517
708655983,0.4063,Alto,"Poucas transações (≤ 60); Queda de uso no trimestre (Q4/Q1 < 0,6); Rotativo zerado",27.06,24,0.263,2,3,0
772308408,0.3975,Moderado,Poucas transações (≤ 60); 3+ contatos com o banco,159.42,22,1.2,3,6,785
778456983,0.397,Moderado,"Poucas transações (≤ 60); Queda de uso no trimestre (Q4/Q1 < 0,6); 3+ contatos com o banco",253.36,49,0.361,3,5,1205
718435158,0.3954,Moderado,"Poucas transações (≤ 60); Queda de uso no trimestre (Q4/Q1 < 0,6); 3+ contatos com o banco; Rotativo zerado",38.6,36,0.44,4,5,0
788699808,0.3954,Moderado,"Poucas transações (≤ 60); Queda de uso no trimestre (Q4/Q1 < 0,6); Rotativo zerado",30.76,43,0.536,2,4,0
772000533,0.3946,Moderado,"Poucas transações (≤ 60); Queda de uso no trimestre (Q4/Q1 < 0,6)",236.52,23,0.278,2,4,1113
772571508,0.3896,Moderado,Poucas transações (≤ 60); Rotativo zerado,46.22,43,0.654,0,4,0
714573258,0.3844,Moderado,Poucas transações (≤ 60); 3+ contatos com o banco,188.22,45,1.045,4,4,798
710840433,0.3791,Moderado,Poucas transações (≤ 60); 3+ contatos com o banco; Até 2 produtos,364.86,51,0.962,3,2,1656
778742358,0.3783,Moderado,Até 2 produtos; Rotativo zerado,150.34,76,0.617,2,2,0
714178458,0.3775,Moderado,"Poucas transações (≤ 60); Queda de uso no trimestre (Q4/Q1 < 0,6)",324.38,53,0.395,2,3,1603
716355783,0.3756,Moderado,"Poucas transações (≤ 60); Queda de uso no trimestre (Q4/Q1 < 0,6); 3+ contatos com o banco; Rotativo zerado",39.98,44,0.571,3,5,0
769574883,0.3708,Moderado,"Poucas transações (≤ 60); Queda de uso no trimestre (Q4/Q1 < 0,6); 3+ contatos com o banco",475.08,37,0.276,3,3,2517
788811558,0.3702,Moderado,3+ contatos com o banco; Até 2 produtos,340.9,65,0.857,3,1,1022
719273733,0.3646,Moderado,"Poucas transações (≤ 60); Queda de uso no trimestre (Q4/Q1 < 0,6); 3+ contatos com o banco",216.74,29,0.318,5,5,998
721500108,0.3594,Moderado,Poucas transações (≤ 60); Rotativo zerado,88.04,55,0.833,2,5,0
713734758,0.3463,Moderado,"Poucas transações (≤ 60); Queda de uso no trimestre (Q4/Q1 < 0,6)",469.1,50,0.351,2,4,2375
779548008,0.3426,Moderado,3+ contatos com o banco; Até 2 produtos; Rotativo zerado,154.9,83,0.729,3,1,0
716129208,0.3367,Moderado,Poucas transações (≤ 60); 3+ contatos com o banco; Rotativo zerado,33.56,36,0.8,3,3,0
719466558,0.3238,Moderado,"Poucas transações (≤ 60); Queda de uso no trimestre (Q4/Q1 < 0,6); Rotativo zerado",27.22,34,0.308,2,3,0
788528958,0.322,Moderado,3+ contatos com o banco; Até 2 produtos; Rotativo zerado,167.12,79,0.681,3,1,0
797234508,0.3215,Moderado,"Poucas transações (≤ 60); Queda de uso no trimestre (Q4/Q1 < 0,6); 3+ contatos com o banco; Rotativo zerado",29.62,20,0.333,4,3,0
710844408,0.3185,Moderado,Poucas transações (≤ 60); Rotativo zerado,36.86,28,0.647,2,4,0
717678408,0.3117,Moderado,"Poucas transações (≤ 60); Queda de uso no trimestre (Q4/Q1 < 0,6); 3+ contatos com o banco",494.38,51,0.457,4,4,2517
716063583,0.3104,Moderado,Até 2 produtos,552.46,85,0.7,1,1,2109
819258408,0.3097,Moderado,"Poucas transações (≤ 60); Queda de uso no trimestre (Q4/Q1 < 0,6); 3+ contatos com o banco",233.04,41,0.367,4,4,1106
778627983,0.3076,Moderado,"Poucas transações (≤ 60); Queda de uso no trimestre (Q4/Q1 < 0,6); 3+ contatos com o banco",237.4,49,0.4,3,3,1140
715898058,0.3061,Moderado,"Poucas transações (≤ 60); Queda de uso no trimestre (Q4/Q1 < 0,6); 3+ contatos com o banco; Rotativo zerado",33.12,41,0.367,3,5,0
713217858,0.3026,Moderado,"Poucas transações (≤ 60); Queda de uso no trimestre (Q4/Q1 < 0,6); 3+ contatos com o banco; Rotativo zerado",24.08,28,0.333,3,5,0
715050408,0.2952,Moderado,"Poucas transações (≤ 60); Queda de uso no trimestre (Q4/Q1 < 0,6); 3+ contatos com o banco",305.56,32,0.524,3,4,1576
712514508,0.295,Moderado,Poucas transações (≤ 60); Rotativo zerado,61.46,49,1.227,2,6,0
711455133,0.2932,Moderado,Poucas transações (≤ 60); 3+ contatos com o banco,380.64,42,0.68,3,5,1839
719169783,0.2926,Moderado,Poucas transações (≤ 60); 3+ contatos com o banco,170.82,57,0.839,3,3,640
710592933,0.2906,Moderado,"Poucas transações (≤ 60); Queda de uso no trimestre (Q4/Q1 < 0,6); 3+ contatos com o banco",240.88,54,0.588,3,3,1092
715168983,0.2872,Moderado,"Poucas transações (≤ 60); Queda de uso no trimestre (Q4/Q1 < 0,6); Rotativo zerado",29.02,37,0.194,2,5,0
771075258,0.285,Moderado,"Poucas transações (≤ 60); Queda de uso no trimestre (Q4/Q1 < 0,6); Até 2 produtos",300.22,42,0.355,2,2,1527
708697983,0.2781,Moderado,Até 2 produtos,563.4,78,0.814,2,2,2156
721023708,0.2765,Moderado,"Queda de uso no trimestre (Q4/Q1 < 0,6); 3+ contatos com o banco; Rotativo zerado",42.84,62,0.378,3,3,0
718830183,0.2741,Moderado,"Poucas transações (≤ 60); Queda de uso no trimestre (Q4/Q1 < 0,6); 3+ contatos com o banco",479.84,29,0.381,4,5,2517
